SAMPLE_ID	mutations	cna	structural_variants
P-0040145-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0040145-T03-IM7	IMPACT505	IMPACT505	IMPACT505
P-0040252-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040358-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040358-T03-XS1	ACCESS129	ACCESS129	ACCESS129
P-0040363-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040375-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040375-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040448-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040507-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040528-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040544-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040600-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040655-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040655-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040655-T03-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040655-T04-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040655-T05-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040684-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040730-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040730-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040732-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040818-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040818-T03-IH3	IMPACT-HEME-400	IMPACT-HEME-400	IMPACT-HEME-400
P-0040818-T04-IH3	IMPACT-HEME-400	IMPACT-HEME-400	IMPACT-HEME-400
P-0040869-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040888-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040888-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0040892-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040940-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040945-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040945-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0040952-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0040954-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041143-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041149-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041149-T03-XS1	ACCESS129	ACCESS129	ACCESS129
P-0041149-T04-IM6	IMPACT468	IMPACT468	IMPACT468
